ID,Image,X,Y,Width,Height
347,200021637-00015_2,244,452,55,181
348,200021637-00015_2,1069,892,85,278
349,200021637-00015_2,1140,1268,88,315
350,200021637-00015_2,1322,1747,94,266
351,200021637-00015_2,1337,1836,79,246
352,200021637-00015_2,343,876,95,217
353,200021637-00015_2,343,935,95,222
354,200021637-00015_2,689,1691,76,273
355,200021637-00016_1,1143,220,79,252
356,200021637-00016_1,691,225,85,226
357,200021637-00016_1,391,220,53,170
358,200021637-00016_1,841,925,71,250
359,200021637-00016_1,377,738,72,263
360,200021637-00016_1,243,810,108,291
361,200021637-00016_2,408,281,55,141
362,200021637-00016_2,408,325,59,145
363,200021637-00016_2,352,333,60,155
364,200021637-00016_2,1232,1323,77,284
365,200021637-00016_2,295,860,97,175
366,200021637-00016_2,295,919,97,240
367,200021637-00016_2,695,2158,67,263
368,200021637-00017_1,1029,235,107,324
369,200021637-00017_1,470,267,68,143
370,200021637-00017_1,331,224,60,160
371,200021637-00017_1,69,317,51,203
372,200021637-00017_1,873,893,77,238
373,200021637-00017_1,970,1336,80,235
374,200021637-00017_1,881,1284,74,233
375,200021637-00017_1,235,881,83,265
376,200021637-00017_1,533,1193,65,203
377,200021637-00017_1,533,1272,71,193
378,200021637-00017_1,103,1340,71,254
379,200021637-00017_2,1284,268,112,307
380,200021637-00017_2,780,261,50,130
381,200021637-00017_2,785,315,45,134
382,200021637-00017_2,717,265,63,151
383,200021637-00017_2,610,280,55,142
384,200021637-00017_2,488,259,57,147
385,200021637-00017_2,417,263,61,157
386,200021637-00017_2,239,293,60,159
387,200021637-00017_2,239,355,61,144
388,200021637-00017_2,239,403,61,137
389,200021637-00017_2,1210,1042,35,147
390,200021637-00017_2,1070,774,68,233
391,200021637-00017_2,1274,1248,60,228
392,200021637-00017_2,204,1052,64,172
393,200021637-00017_2,680,1945,45,146
394,200021637-00017_2,678,1992,63,163
395,200021637-00018_1,600,283,58,136
396,200021637-00018_1,548,288,52,123
397,200021637-00018_1,480,279,57,178
398,200021637-00018_1,359,284,60,142
399,200021637-00018_1,359,336,60,124
400,200021637-00018_1,359,375,74,141
401,200021637-00018_1,289,396,57,142
402,200021637-00018_1,220,291,59,141
403,200021637-00018_1,220,345,54,118
404,200021637-00018_1,229,387,66,125
405,200021637-00018_1,101,428,55,137
406,200021637-00018_1,76,484,25,117
407,200021637-00018_1,76,523,25,141
408,200021637-00018_1,76,568,25,154
409,200021637-00018_1,1051,1336,80,231
410,200021637-00018_1,1051,1412,80,234
411,200021637-00018_1,919,1799,97,248
412,200021637-00018_1,919,1898,80,221
413,200021637-00018_1,515,800,115,244
414,200021712-00003_2,1567,1307,160,509
415,200021712-00003_2,1328,2141,75,412
416,200021712-00003_2,1266,2281,159,435
417,200021712-00003_2,1285,3048,139,336
418,200021712-00003_2,1285,3138,139,318
419,200021712-00003_2,1017,1598,120,369
420,200021712-00003_2,1018,1715,87,396
421,200021712-00003_2,1018,1866,105,350
422,200021712-00003_2,1018,1961,105,331
423,200021712-00003_2,688,872,169,444
424,200021712-00003_2,691,1030,166,385
425,200021712-00003_2,691,1173,166,360
426,200021712-00003_2,424,1079,154,412
427,200021712-00004_1,1366,1728,134,389
428,200021712-00004_1,807,1911,150,308
429,200021712-00004_1,561,1676,70,413
430,200021712-00004_1,542,2478,99,355
431,200021712-00004_1,525,2601,118,339
432,200021712-00004_1,525,2680,118,320
433,200021712-00004_1,267,1565,68,373
434,200021712-00004_1,250,1687,94,412
435,200021712-00004_1,227,1837,148,426
436,200021712-00004_1,227,1944,148,361
437,200021712-00004_2,1536,2926,106,521
438,200021712-00004_2,1209,1861,167,378
439,200021712-00004_2,1209,2013,167,392
440,200021712-00004_2,1209,2130,167,396
441,200021712-00004_2,950,1673,158,443
442,200021712-00004_2,648,1608,171,476
443,200021712-00004_2,648,1792,171,541
444,200021712-00004_2,663,1919,156,544
445,200021712-00005_2,953,2167,92,347
446,200021712-00006_1,1730,2698,97,305
447,200021712-00006_1,1541,1414,101,348
448,200021712-00006_1,1537,2321,94,338
449,200021712-00006_1,1536,2452,94,396
450,200021712-00006_1,1534,2554,102,381
451,200021712-00006_1,1171,1167,100,341
452,200021712-00006_1,1168,1280,72,364
453,200021712-00006_1,1168,1393,64,406
454,200021712-00006_2,948,1171,107,384
455,200021712-00006_2,948,1287,107,384
456,200021712-00006_2,764,1168,98,377
457,200021712-00006_2,777,1299,81,386
458,200021712-00006_2,362,1305,109,375
459,200021712-00006_2,387,1414,83,395
460,200021712-00007_1,1730,2469,83,381
461,200021712-00007_1,1540,1421,70,379
462,200021712-00007_1,1347,2550,80,430
463,200021712-00007_1,1162,2342,86,374
464,200021712-00007_1,1166,2471,82,372
465,200021712-00007_2,1920,2342,87,426
466,200021712-00007_2,1918,2442,113,419
467,200021712-00008_1,1731,1139,81,404
468,200021712-00008_1,406,1407,90,378
469,200021712-00008_2,712,2191,105,361
470,200021712-00008_2,731,2300,77,400
471,200021712-00008_2,731,2432,76,389
472,200021712-00009_1,1306,1295,90,401
473,200021712-00009_1,1306,1419,89,407
474,200021712-00009_1,932,2217,84,313
475,200021712-00009_1,549,2461,90,372
476,200021712-00009_1,549,2566,81,404
477,200021712-00009_2,1704,1012,79,363
478,200021712-00009_2,1703,1137,103,367
479,200021712-00009_2,1329,2581,86,360
480,200021712-00010_1,1725,1189,114,333
481,200021712-00010_1,1725,1316,102,352
482,200021712-00010_1,1158,1043,86,391
483,200021712-00010_1,1165,1178,101,382
484,200021712-00010_2,1136,1186,101,343
485,200021712-00010_2,1182,3266,70,243
486,200021712-00010_2,941,1693,91,368
487,200021712-00010_2,935,2604,99,502
488,200021712-00010_2,935,2887,99,371
489,200021712-00010_2,935,3011,99,338
490,200021712-00010_2,745,910,100,359
491,200021712-00010_2,745,1018,100,391
492,200021712-00010_2,758,1162,71,356
493,200021712-00010_2,758,1287,63,358
494,200021712-00010_2,764,1411,53,390
495,200021712-00010_2,746,2876,94,352
496,200021712-00010_2,746,3002,94,386
497,200021712-00010_2,758,3109,71,392
498,200021712-00010_2,551,1563,96,324
499,200021712-00010_2,551,1678,93,393
500,200021712-00010_2,543,1812,98,393
501,200021712-00010_2,543,1898,98,428
502,200021712-00010_2,559,2482,87,371
503,200021712-00010_2,384,1546,40,382
504,200021712-00010_2,347,2492,106,355
505,200021712-00010_2,347,2615,106,367
506,200021712-00010_2,363,2731,78,380
507,200021712-00011_1,1742,943,108,304
508,200021712-00011_1,1751,1055,99,368
509,200021712-00011_1,1752,1587,94,369
510,200021712-00011_1,1751,2113,94,356
511,200021712-00011_1,1566,1971,71,377
512,200021712-00011_1,1566,2097,71,378
513,200021712-00011_1,1558,2634,91,357
514,200021712-00011_1,1372,1201,90,352
515,200021712-00011_1,1369,1675,88,376
516,200021712-00011_1,1357,2765,95,369
517,200021712-00011_1,1357,2907,95,352
518,200021712-00011_1,1360,3020,87,404
519,200021712-00011_1,1360,3171,87,344
520,200021712-00011_1,1174,2239,101,362
521,200021712-00011_1,1174,2360,101,402
522,200021712-00011_1,1177,2522,98,322
523,200021712-00011_1,976,929,98,368
524,200021712-00011_1,976,1057,98,327
525,200021712-00011_1,979,1179,93,345
526,200021712-00011_1,979,1320,100,350
527,200021712-00011_1,980,1437,99,377
528,200021712-00011_1,592,1566,102,283
529,200021712-00011_1,592,1661,93,317
530,200021712-00011_1,608,1788,77,317
531,200021712-00011_1,214,2127,96,362
532,200021712-00011_1,217,2240,76,368
533,200021712-00011_2,1917,920,108,354
534,200021712-00011_2,1929,1833,93,351
535,200021712-00011_2,1924,2632,98,353
536,200021712-00011_2,1730,1177,99,389
537,200021712-00011_2,1726,2500,102,361
538,200021712-00011_2,1143,1177,106,354
539,200021712-00011_2,1159,1702,86,354
540,200021712-00011_2,1163,3058,79,353
541,200021712-00011_2,1162,3160,80,352
542,200021712-00011_2,959,915,94,359
543,200021712-00011_2,955,1030,98,401
544,200021712-00011_2,769,1325,87,358
545,200021712-00011_2,777,2095,82,356
546,200021712-00012_1,1730,2755,92,394
547,200021712-00012_1,1539,2640,94,334
548,200021712-00012_1,1548,3149,77,361
549,200021712-00012_1,1348,1295,87,373
550,200021712-00012_1,1164,1311,91,349
551,200021712-00012_1,1159,2617,94,373
552,200021712-00012_1,955,1165,92,373
553,200021712-00012_1,955,1283,93,397
554,200021712-00012_1,967,2763,88,378
555,200021712-00012_1,967,2885,79,393
556,200021712-00012_1,794,1681,52,366
557,200021712-00012_1,783,1821,66,380
558,200021712-00012_1,783,1975,66,359
559,200021712-00012_1,781,2473,95,490
560,200021712-00012_1,405,1986,71,349
561,200021712-00012_1,403,3029,60,370
562,200021712-00012_2,1901,886,104,379
563,200021712-00012_2,1901,1037,104,331
564,200021712-00012_2,1908,1138,77,368
565,200021712-00012_2,1908,1267,72,376
566,200021712-00012_2,1908,1397,72,411
567,200021712-00012_2,1900,1533,79,365
568,200021712-00012_2,1521,1665,90,356
569,200021712-00012_2,1335,875,79,433
570,200021712-00012_2,958,2057,63,356
571,200021712-00012_2,934,2724,97,376
572,200021712-00012_2,753,1656,79,322
573,200021712-00012_2,753,1775,79,349
574,200021712-00012_2,753,1914,79,266
575,200021712-00012_2,756,2343,77,505
576,200021712-00012_2,759,2601,66,377
577,200021712-00012_2,758,2750,67,337
578,200021712-00012_2,758,2846,72,371
579,200021712-00012_2,548,1126,89,375
580,200021712-00012_2,352,1654,103,340
581,200021712-00012_2,352,1784,108,378
582,200021712-00012_2,352,1938,108,378
583,200021712-00012_2,356,2047,104,373
584,200021712-00012_2,362,2185,110,388
585,200021712-00012_2,362,2344,110,326
586,200021712-00012_2,364,2441,108,396
587,200021712-00012_2,363,2598,74,355
588,200021712-00012_2,362,2670,107,406
589,200021712-00012_2,361,2872,108,349
590,200021712-00012_2,361,2953,108,394
591,200021712-00012_2,359,3141,78,347
592,200021712-00013_1,1745,927,90,335
593,200021712-00013_1,1765,1051,72,345
594,200021712-00013_1,1754,1166,83,355
595,200021712-00013_1,1348,3180,94,354
596,200021712-00013_1,1157,1166,103,336
597,200021712-00013_1,1157,1301,103,313
598,200021712-00013_1,1151,2501,105,334
599,200021712-00013_1,1151,2630,105,247
600,200021712-00013_1,787,1028,94,359
601,200021712-00013_1,782,1118,96,421
602,200021712-00013_1,782,1246,96,418
603,200021712-00013_1,779,1848,102,341
604,200021712-00013_1,794,2369,79,356
605,200021712-00013_1,225,908,74,382
606,200021712-00013_1,231,993,78,428
607,200021712-00013_1,210,3181,77,351
608,200021712-00013_2,1919,1278,99,413
609,200021712-00013_2,1919,1422,81,342
610,200021712-00013_2,1919,1547,81,379
611,200021712-00013_2,1920,1691,80,358
612,200021712-00013_2,1920,1816,91,367
613,200021712-00013_2,1920,2367,87,334
614,200021712-00013_2,1923,3024,84,362
615,200021712-00013_2,1923,3152,84,346
616,200021712-00013_2,1718,1285,104,355
617,200021712-00013_2,1728,2101,88,338
618,200021712-00013_2,1532,901,93,362
619,200021712-00013_2,1533,1027,83,340
620,200021712-00013_2,1530,1102,113,429
621,200021712-00013_2,1535,2209,78,405
622,200021712-00013_2,1534,2337,91,390
623,200021712-00013_2,1529,2475,96,409
624,200021712-00013_2,1529,2615,96,339
625,200021712-00013_2,1529,2740,85,388
626,200021712-00013_2,1528,2885,89,348
627,200021712-00013_2,1528,2966,89,399
628,200021712-00013_2,1527,3149,90,354
629,200021712-00013_2,1160,2881,51,349
630,200021712-00013_2,1154,3018,76,365
631,200021712-00013_2,1150,3145,80,369
632,200021712-00013_2,945,1561,100,371
633,200021712-00013_2,968,1663,75,394
634,200021712-00013_2,962,1823,81,385
635,200021712-00013_2,962,1949,81,371
636,200021712-00013_2,962,2085,78,386
637,200021712-00013_2,952,3091,98,301
638,200021712-00013_2,966,3158,80,351
639,200021712-00013_2,780,898,64,356
640,200021712-00013_2,757,992,102,398
641,200021712-00013_2,757,1147,102,385
642,200021712-00013_2,766,1691,82,359
643,200021712-00013_2,774,1801,62,373
644,200021712-00013_2,752,2346,105,347
645,200021712-00013_2,752,2467,105,404
646,200021712-00013_2,763,2995,94,349
647,200021712-00013_2,573,1957,94,336
648,200021712-00013_2,574,3023,83,357
649,200021712-00013_2,574,3130,73,373
650,200021712-00013_2,374,3150,97,378
651,200021712-00014_1,1745,1857,79,333
652,200021712-00014_1,1738,2640,104,328
653,200021712-00014_1,1738,2770,104,369
654,200021712-00014_1,1738,2886,93,371
655,200021712-00014_1,1353,2499,85,374
656,200021712-00014_1,1171,1429,95,403
657,200021712-00014_1,1171,1525,95,425
658,200021712-00014_1,1171,1701,95,364
659,200021712-00014_1,1150,2363,104,343
660,200021712-00014_1,977,2641,115,344
661,200021712-00014_1,977,2726,115,418
662,200021712-00014_1,978,2924,94,334
663,200021712-00014_1,782,1330,109,334
664,200021712-00014_1,796,1814,68,387
665,200021712-00014_1,798,2906,60,331
666,200021712-00014_1,784,2994,79,418
667,200021712-00014_1,784,3181,79,362
668,200021712-00014_1,593,2916,93,325
669,200021712-00014_1,593,3034,84,359
670,200021712-00014_1,593,3120,84,416
671,200021712-00014_1,398,1846,92,359
672,200021712-00014_1,200,1033,92,343
673,200021712-00014_1,221,1131,49,371
674,200021712-00014_2,1896,1614,113,385
675,200021712-00014_2,1896,1763,113,346
676,200021712-00014_2,1927,1902,69,332
677,200021712-00014_2,1927,2001,69,356
678,200021712-00014_2,1930,2152,66,338
679,200021712-00014_2,1918,2255,82,383
680,200021712-00014_2,1918,2382,82,360
681,200021712-00014_2,1929,3033,73,324
682,200021712-00014_2,1925,3159,77,336
683,200021712-00014_2,1738,1624,57,379
684,200021712-00014_2,1724,1745,78,397
685,200021712-00014_2,1724,1866,78,348
686,200021712-00014_2,1724,2016,78,349
687,200021712-00014_2,1720,2513,98,393
688,200021712-00014_2,1720,2655,98,338
689,200021712-00014_2,1518,1127,98,324
690,200021712-00014_2,1547,1254,59,315
691,200021712-00014_2,1547,1370,54,348
692,200021712-00014_2,1517,1904,87,305
693,200021712-00014_2,1549,2794,57,374
694,200021712-00014_2,1549,2904,57,342
695,200021712-00014_2,1532,3016,93,340
696,200021712-00014_2,1343,995,99,371
697,200021712-00014_2,1352,2786,76,321
698,200021712-00014_2,1352,2914,76,322
699,200021712-00014_2,1155,1117,63,373
